Country,Internet_3i_metric,Internet_3i_score
Mozambique,AVAILABILITY,32.0
Myanmar,AVAILABILITY,52.2
Namibia,AVAILABILITY,44.2
Nepal,AVAILABILITY,54.9
Netherlands,AVAILABILITY,83.3
New Zealand,AVAILABILITY,83.5
Nicaragua,AVAILABILITY,53.7
Niger,AVAILABILITY,19.3
Nigeria,AVAILABILITY,46.3
Oman,AVAILABILITY,73.4
Pakistan,AVAILABILITY,47.0
Panama,AVAILABILITY,64.9
Papua New Guinea,AVAILABILITY,40.8
Paraguay,AVAILABILITY,60.9
Peru,AVAILABILITY,61.0
Philippines,AVAILABILITY,66.9
Poland,AVAILABILITY,76.3
Portugal,AVAILABILITY,75.9
Qatar,AVAILABILITY,79.0
Romania,AVAILABILITY,78.1
Russia,AVAILABILITY,72.2
Rwanda,AVAILABILITY,44.5
Saudi Arabia,AVAILABILITY,73.1
Senegal,AVAILABILITY,48.6
Sierra Leone,AVAILABILITY,28.9
Singapore,AVAILABILITY,87.3
Slovakia,AVAILABILITY,76.4
South Africa,AVAILABILITY,68.6
South Korea,AVAILABILITY,86.9
Spain,AVAILABILITY,79.7
Sri Lanka,AVAILABILITY,61.7
Sudan,AVAILABILITY,32.2
Sweden,AVAILABILITY,83.9
Switzerland,AVAILABILITY,85.5
Taiwan,AVAILABILITY,81.5
Tanzania,AVAILABILITY,32.5
Thailand,AVAILABILITY,76.4
Trinidad & Tobago,AVAILABILITY,72.8
Tunisia,AVAILABILITY,63.2
Turkey,AVAILABILITY,70.2
UAE,AVAILABILITY,81.3
Uganda,AVAILABILITY,39.4
Ukraine,AVAILABILITY,68.4
United Kingdom,AVAILABILITY,79.6
United States,AVAILABILITY,80.8
Uruguay,AVAILABILITY,70.2
Uzbekistan,AVAILABILITY,59.1
Venezuela,AVAILABILITY,57.1
Vietnam,AVAILABILITY,69.1
Zambia,AVAILABILITY,37.5
Zimbabwe,AVAILABILITY,48.0
Algeria,AFFORDABILITY,61.3
Angola,AFFORDABILITY,59.2
Argentina,AFFORDABILITY,72.7
Australia,AFFORDABILITY,90.1
Austria,AFFORDABILITY,78.1
Azerbaijan,AFFORDABILITY,78.8
Bahrain,AFFORDABILITY,71.4
Bangladesh,AFFORDABILITY,62.2
Belgium,AFFORDABILITY,83.0
Benin,AFFORDABILITY,48.6
Botswana,AFFORDABILITY,67.5
Brazil,AFFORDABILITY,86.5
Bulgaria,AFFORDABILITY,73.2
Burkina Faso,AFFORDABILITY,53.2
Burundi,AFFORDABILITY,30.9
Cambodia,AFFORDABILITY,62.9
Cameroon,AFFORDABILITY,60.3
Canada,AFFORDABILITY,95.8
Chile,AFFORDABILITY,88.3
China,AFFORDABILITY,67.8
Colombia,AFFORDABILITY,78.4
Congo (DRC),AFFORDABILITY,43.9
Costa Rica,AFFORDABILITY,73.7
Cote d'Ivoire,AFFORDABILITY,57.1
Croatia,AFFORDABILITY,66.5
Cuba,AFFORDABILITY,57.3
Czech Republic,AFFORDABILITY,83.8
Denmark,AFFORDABILITY,83.5
Dominican Republic,AFFORDABILITY,59.8
Ecuador,AFFORDABILITY,78.1
Egypt,AFFORDABILITY,64.5
El Salvador,AFFORDABILITY,76.5
Estonia,AFFORDABILITY,77.7
Ethiopia,AFFORDABILITY,48.1
Finland,AFFORDABILITY,85.8
France,AFFORDABILITY,93.6
Gabon,AFFORDABILITY,56.4
Germany,AFFORDABILITY,84.4
Ghana,AFFORDABILITY,55.1
Greece,AFFORDABILITY,76.1
Guatemala,AFFORDABILITY,56.2
Guinea,AFFORDABILITY,51.0
Honduras,AFFORDABILITY,58.0
Hong Kong,AFFORDABILITY,85.8
Hungary,AFFORDABILITY,82.9
India,AFFORDABILITY,85.7
Indonesia,AFFORDABILITY,62.3
Iran,AFFORDABILITY,69.0
Ireland,AFFORDABILITY,88.9
Israel,AFFORDABILITY,90.7
Italy,AFFORDABILITY,92.5
Jamaica,AFFORDABILITY,59.2
Japan,AFFORDABILITY,88.9
Jordan,AFFORDABILITY,62.4
Kazakhstan,AFFORDABILITY,66.7
Kenya,AFFORDABILITY,65.8
Kuwait,AFFORDABILITY,86.2
Laos,AFFORDABILITY,70.4
Latvia,AFFORDABILITY,75.3
Lebanon,AFFORDABILITY,60.4
Liberia,AFFORDABILITY,32.4
Lithuania,AFFORDABILITY,81.9
Madagascar,AFFORDABILITY,45.3
Malawi,AFFORDABILITY,41.5
Malaysia,AFFORDABILITY,71.5
Mali,AFFORDABILITY,47.6
Mexico,AFFORDABILITY,75.7
Mongolia,AFFORDABILITY,74.2
Morocco,AFFORDABILITY,64.5
Mozambique,AFFORDABILITY,55.6
Myanmar,AFFORDABILITY,70.0
Namibia,AFFORDABILITY,55.6
Nepal,AFFORDABILITY,64.2
Netherlands,AFFORDABILITY,78.6
New Zealand,AFFORDABILITY,87.9
Nicaragua,AFFORDABILITY,52.5
Niger,AFFORDABILITY,48.0
Nigeria,AFFORDABILITY,70.0
Oman,AFFORDABILITY,63.1
Pakistan,AFFORDABILITY,67.0
Panama,AFFORDABILITY,75.1
Papua New Guinea,AFFORDABILITY,53.1
Paraguay,AFFORDABILITY,64.6
Peru,AFFORDABILITY,72.8
Philippines,AFFORDABILITY,63.4
Poland,AFFORDABILITY,89.1
Portugal,AFFORDABILITY,76.5
Qatar,AFFORDABILITY,70.2
Romania,AFFORDABILITY,81.7
Russia,AFFORDABILITY,89.3
Rwanda,AFFORDABILITY,50.3
Saudi Arabia,AFFORDABILITY,60.6
Senegal,AFFORDABILITY,53.7
Sierra Leone,AFFORDABILITY,39.7
Singapore,AFFORDABILITY,82.6
Slovakia,AFFORDABILITY,75.8
South Africa,AFFORDABILITY,73.4
South Korea,AFFORDABILITY,84.5
Spain,AFFORDABILITY,91.9
Sri Lanka,AFFORDABILITY,64.2
Sudan,AFFORDABILITY,55.4
Sweden,AFFORDABILITY,91.3
Switzerland,AFFORDABILITY,75.7
Taiwan,AFFORDABILITY,74.3
Tanzania,AFFORDABILITY,72.4
Thailand,AFFORDABILITY,79.5
Trinidad & Tobago,AFFORDABILITY,65.6
Tunisia,AFFORDABILITY,75.8
Turkey,AFFORDABILITY,64.5
UAE,AFFORDABILITY,67.2
Uganda,AFFORDABILITY,56.8
Ukraine,AFFORDABILITY,75.5
United Kingdom,AFFORDABILITY,94.7
United States,AFFORDABILITY,92.3
Uruguay,AFFORDABILITY,69.9
Uzbekistan,AFFORDABILITY,63.0
Venezuela,AFFORDABILITY,64.3
Vietnam,AFFORDABILITY,69.4
Zambia,AFFORDABILITY,58.8
Zimbabwe,AFFORDABILITY,40.4
Algeria,Quality,28.4
Angola,Quality,35.5
Argentina,Quality,37.8
Australia,Quality,48.8
Austria,Quality,47.3
Azerbaijan,Quality,42.0
Bahrain,Quality,44.8
Bangladesh,Quality,35.1
Belgium,Quality,50.6
Benin,Quality,30.5
Botswana,Quality,30.7
Brazil,Quality,40.6
Bulgaria,Quality,55.7
Burkina Faso,Quality,29.6
Burundi,Quality,31.7
Cambodia,Quality,38.6
Cameroon,Quality,28.8
Canada,Quality,57.2
Chile,Quality,46.0
China,Quality,60.3
Colombia,Quality,36.8
Congo (DRC),Quality,21.7
Costa Rica,Quality,37.3
Cote d'Ivoire,Quality,29.3
Croatia,Quality,47.9
Cuba,Quality,25.8
Czech Republic,Quality,49.5
Denmark,Quality,61.9
