user_loc,fr_loc,scaled_sci,categories
BR,IT,2131,Brazil
BR,JE,1786,Brazil
BR,JM,1381,Brazil
BR,JO,437,Brazil
BR,JP,1641,Brazil
BR,KE,653,Brazil
BR,KG,108,Brazil
BR,KH,289,Brazil
BR,KI,364,Brazil
BR,KM,321,Brazil
BR,KR,262,Brazil
BR,KW,592,Brazil
BR,KY,1819,Brazil
BR,KZ,198,Brazil
BR,LA,110,Brazil
BR,LB,1555,Brazil
BR,LC,734,Brazil
BR,LK,614,Brazil
BR,LR,1739,Brazil
BR,LS,192,Brazil
BR,LT,279,Brazil
BR,LU,5742,Brazil
BR,LV,331,Brazil
BR,LY,343,Brazil
BR,MA,1720,Brazil
BR,MD,161,Brazil
BR,ME,514,Brazil
BR,MG,1190,Brazil
BR,MK,462,Brazil
BR,ML,734,Brazil
BR,MM,71,Brazil
BR,MN,100,Brazil
BR,MO,483,Brazil
BR,MQ,1921,Brazil
BR,MR,702,Brazil
BR,MT,2403,Brazil
BR,MU,700,Brazil
BR,MV,651,Brazil
BR,MW,318,Brazil
BR,MX,1254,Brazil
BR,MY,186,Brazil
BR,MZ,7016,Brazil
BR,NC,377,Brazil
BR,NE,564,Brazil
BR,NG,1039,Brazil
BR,NI,2063,Brazil
BR,NL,1320,Brazil
BR,NO,766,Brazil
BR,NP,127,Brazil
BR,NZ,1490,Brazil
BR,OM,537,Brazil
BR,PA,2407,Brazil
BR,PE,2123,Brazil
BR,PF,521,Brazil
BR,PG,367,Brazil
BR,PH,443,Brazil
BR,PK,679,Brazil
BR,PL,249,Brazil
BR,PR,1137,Brazil
BR,PT,27797,Brazil
BR,PY,20058,Brazil
BR,QA,803,Brazil
BR,RE,349,Brazil
BR,RO,469,Brazil
BR,RS,511,Brazil
BR,RW,499,Brazil
BR,SA,546,Brazil
BR,SB,294,Brazil
BR,SC,679,Brazil
BR,SE,703,Brazil
BR,SG,362,Brazil
BR,SI,505,Brazil
BR,SK,292,Brazil
BR,SL,1711,Brazil
BR,SN,1817,Brazil
BR,SR,10776,Brazil
BR,ST,22874,Brazil
BR,SV,1364,Brazil
BR,SZ,316,Brazil
BR,TD,407,Brazil
BR,TG,1595,Brazil
BR,TH,123,Brazil
BR,TJ,237,Brazil
BR,TL,1570,Brazil
BR,TN,1967,Brazil
BR,TO,246,Brazil
BR,TR,423,Brazil
BR,TT,2313,Brazil
BR,TW,150,Brazil
BR,TZ,451,Brazil
BR,UA,262,Brazil
BR,UG,992,Brazil
BR,US,1511,Brazil
BR,UY,9542,Brazil
BR,UZ,163,Brazil
BR,VC,606,Brazil
BR,VN,315,Brazil
BR,VU,188,Brazil
BR,WS,240,Brazil
BR,YT,404,Brazil
BR,ZA,286,Brazil
BR,ZM,598,Brazil
BR,ZW,246,Brazil
CA,AE,13566,Canada
CA,AF,4977,Canada
CA,AG,66793,Canada
CA,AL,5606,Canada
CA,AM,3660,Canada
CA,AO,1403,Canada
CA,AR,961,Canada
CA,AT,4474,Canada
CA,AU,15832,Canada
CA,AW,9476,Canada
CA,AZ,1133,Canada
CA,BA,5297,Canada
CA,BB,68058,Canada
CA,BD,1721,Canada
CA,BE,5968,Canada
CA,BF,4798,Canada
CA,BG,2654,Canada
CA,BH,7974,Canada
CA,BI,14815,Canada
CA,BJ,3580,Canada
CA,BN,4782,Canada
CA,BO,645,Canada
CA,BR,1378,Canada
CA,BS,58598,Canada
CA,BT,3260,Canada
CA,BW,2825,Canada
CA,BY,1674,Canada
CA,BZ,11398,Canada
CA,CA,1168333,Canada
CA,CD,5373,Canada
CA,CF,9278,Canada
CA,CG,5672,Canada
CA,CH,11388,Canada
CA,CI,5063,Canada
CA,CL,2215,Canada
CA,CM,8499,Canada
CA,CO,2754,Canada
CA,CR,4816,Canada
CA,CV,1321,Canada
CA,CW,6494,Canada
CA,CY,7503,Canada
CA,CZ,2478,Canada
CA,DE,4654,Canada
CA,DJ,17754,Canada
CA,DK,4949,Canada
CA,DO,5340,Canada
CA,DZ,1576,Canada
CA,EC,1640,Canada
CA,EE,2929,Canada
CA,EG,1641,Canada
CA,ES,2699,Canada
CA,ET,6754,Canada
CA,FI,3773,Canada
CA,FJ,10501,Canada
CA,FM,1680,Canada
CA,FR,7921,Canada
CA,GA,4432,Canada
CA,GB,10675,Canada
CA,GD,98742,Canada
CA,GE,1439,Canada
CA,GF,8557,Canada
CA,GH,4652,Canada
CA,GM,6388,Canada
CA,GN,6831,Canada
CA,GP,11263,Canada
CA,GQ,3006,Canada
CA,GR,5967,Canada
CA,GT,3032,Canada
CA,GU,10698,Canada
CA,GW,1067,Canada
CA,GY,38268,Canada
CA,HK,16199,Canada
CA,HN,2172,Canada
CA,HR,4958,Canada
CA,HT,23361,Canada
CA,HU,3405,Canada
CA,ID,315,Canada
CA,IE,18099,Canada
CA,IM,9241,Canada
CA,IN,3276,Canada
CA,IS,9786,Canada
CA,IT,3824,Canada
CA,JE,10742,Canada
CA,JM,69992,Canada
CA,JO,4258,Canada
CA,JP,2654,Canada
CA,KE,3330,Canada
CA,KG,755,Canada
CA,KH,1236,Canada
CA,KI,500,Canada
CA,KM,1279,Canada
CA,KR,3676,Canada
CA,KW,6577,Canada
CA,KY,106228,Canada
CA,KZ,786,Canada
CA,LA,1305,Canada
CA,LB,22067,Canada
CA,LC,85192,Canada
CA,LK,7599,Canada
CA,LR,5730,Canada
CA,LS,322,Canada
CA,LT,1681,Canada
CA,LU,8628,Canada
CA,LV,2624,Canada
CA,LY,1432,Canada
CA,MA,2490,Canada
CA,MD,3741,Canada
CA,ME,4975,Canada
CA,MG,2056,Canada
CA,MK,5664,Canada
CA,ML,3848,Canada
CA,MM,306,Canada
CA,MN,1026,Canada
CA,MO,11632,Canada
CA,MQ,10125,Canada
CA,MR,2354,Canada
CA,MT,12348,Canada
CA,MU,15926,Canada
CA,MV,2906,Canada
CA,MW,1445,Canada
CA,MX,2399,Canada
CA,MY,1379,Canada
CA,MZ,591,Canada
CA,NC,5166,Canada
CA,NE,3820,Canada
CA,NG,4568,Canada
CA,NI,2330,Canada
CA,NL,5852,Canada
CA,NO,6251,Canada
CA,NP,2690,Canada
CA,NZ,17265,Canada
CA,OM,4580,Canada
CA,PA,2780,Canada
CA,PE,1287,Canada
CA,PF,5537,Canada
CA,PG,815,Canada
CA,PH,12236,Canada
CA,PK,2243,Canada
CA,PL,1816,Canada
CA,PR,1670,Canada
CA,PT,9104,Canada
CA,PY,1129,Canada
CA,QA,10334,Canada
CA,RE,4635,Canada
CA,RO,3333,Canada
CA,RS,5306,Canada
CA,RW,9156,Canada
CA,SA,3693,Canada
CA,SB,1267,Canada
CA,SC,9956,Canada
CA,SE,6434,Canada
CA,SG,9039,Canada
CA,SI,3499,Canada
CA,SK,2604,Canada
CA,SL,4707,Canada
CA,SN,6378,Canada
CA,SR,3559,Canada
CA,ST,616,Canada
CA,SV,3940,Canada
CA,SZ,1755,Canada
CA,TD,6670,Canada
CA,TG,5822,Canada
CA,TH,703,Canada
CA,TJ,2238,Canada
CA,TL,322,Canada
CA,TN,5608,Canada
CA,TO,1735,Canada
CA,TR,1314,Canada
CA,TT,32328,Canada
CA,TW,2972,Canada
CA,TZ,1949,Canada
CA,UA,1913,Canada
CA,UG,6360,Canada
CA,US,10448,Canada
CA,UY,1746,Canada
CA,UZ,568,Canada
CA,VC,147848,Canada
CA,VN,1555,Canada
CA,VU,1125,Canada
CA,WS,1043,Canada
CA,YT,1215,Canada
CA,ZA,1423,Canada
CA,ZM,1678,Canada
CA,ZW,5478,Canada
DE,AE,5178,Germany
DE,AF,21491,Germany
DE,AG,2335,Germany
DE,AL,36557,Germany
DE,AM,7085,Germany
DE,AO,1434,Germany
DE,AR,1442,Germany
DE,AT,94662,Germany
DE,AU,5747,Germany
DE,AW,3546,Germany
DE,AZ,4767,Germany
DE,BA,98577,Germany
DE,BB,2333,Germany
DE,BD,637,Germany
DE,BE,13731,Germany
DE,BF,1795,Germany
DE,BG,55216,Germany
DE,BH,2721,Germany
DE,BI,921,Germany
DE,BJ,2971,Germany
DE,BN,881,Germany
DE,BO,962,Germany
DE,BR,1222,Germany
DE,BS,1567,Germany
DE,BT,711,Germany
DE,BW,946,Germany
DE,BY,5055,Germany
DE,BZ,943,Germany
DE,CA,4654,Germany
DE,CD,1207,Germany
DE,CF,1571,Germany
DE,CG,1755,Germany
DE,CH,67079,Germany
DE,CI,2093,Germany
DE,CL,1779,Germany
DE,CM,7559,Germany
DE,CO,1202,Germany
DE,CR,2226,Germany
DE,CV,4842,Germany
DE,CW,3863,Germany
DE,CY,17667,Germany
DE,CZ,9749,Germany
DE,DE,719479,Germany
DE,DJ,8436,Germany
DE,DK,14590,Germany
DE,DO,2525,Germany
DE,DZ,1086,Germany
DE,EC,1198,Germany
DE,EE,7796,Germany
DE,EG,1904,Germany
DE,ES,8660,Germany
DE,ET,6048,Germany
DE,FI,8171,Germany
DE,FJ,699,Germany
DE,FM,764,Germany
DE,FR,7098,Germany
DE,GA,2360,Germany
DE,GB,8767,Germany
DE,GD,2536,Germany
DE,GE,11442,Germany
DE,GF,1540,Germany
DE,GH,6474,Germany
DE,GM,31557,Germany
DE,GN,13038,Germany
DE,GP,1782,Germany
DE,GQ,3862,Germany
DE,GR,36666,Germany
DE,GT,490,Germany
DE,GU,3206,Germany
DE,GW,8183,Germany
DE,GY,573,Germany
DE,HK,2038,Germany
DE,HN,718,Germany
DE,HR,66655,Germany
DE,HT,554,Germany
DE,HU,30565,Germany
DE,ID,415,Germany
DE,IE,10870,Germany
DE,IM,5403,Germany
DE,IN,556,Germany
DE,IS,20537,Germany
DE,IT,16342,Germany
DE,JE,6571,Germany
DE,JM,2412,Germany
DE,JO,5000,Germany
DE,JP,1625,Germany
DE,KE,2673,Germany
DE,KG,1919,Germany
DE,KH,337,Germany
DE,KI,705,Germany
DE,KM,302,Germany
DE,KR,1576,Germany
DE,KW,2635,Germany
DE,KY,4921,Germany
DE,KZ,1556,Germany
DE,LA,555,Germany
DE,LB,20528,Germany
DE,LC,2043,Germany
DE,LK,2119,Germany
DE,LR,4247,Germany
DE,LS,236,Germany
DE,LT,14356,Germany
DE,LU,71833,Germany
DE,LV,17502,Germany
DE,LY,2463,Germany
DE,MA,2778,Germany
DE,MD,41481,Germany
DE,ME,47327,Germany
DE,MG,2836,Germany
DE,MK,97724,Germany
DE,ML,1509,Germany
DE,MM,238,Germany
DE,MN,2591,Germany
DE,MO,1483,Germany
DE,MQ,1559,Germany
DE,MR,1629,Germany
DE,MT,18426,Germany
DE,MU,2912,Germany
DE,MV,3015,Germany
DE,MW,484,Germany
DE,MX,769,Germany
DE,MY,772,Germany
DE,MZ,977,Germany
DE,NC,1199,Germany
DE,NE,1742,Germany
DE,NG,2269,Germany
DE,NI,765,Germany
DE,NL,19959,Germany
DE,NO,11594,Germany
DE,NP,1044,Germany
DE,NZ,6012,Germany
DE,OM,1920,Germany
DE,PA,1217,Germany
DE,PE,964,Germany
DE,PF,1352,Germany
DE,PG,325,Germany
DE,PH,992,Germany
DE,PK,1609,Germany
DE,PL,26395,Germany
DE,PR,1481,Germany
DE,PT,13243,Germany
DE,PY,1802,Germany
DE,QA,3871,Germany
DE,RE,1505,Germany
DE,RO,68789,Germany
DE,RS,51101,Germany
DE,RW,1863,Germany
DE,SA,2611,Germany
DE,SB,386,Germany
DE,SC,5323,Germany
DE,SE,15602,Germany
DE,SG,3157,Germany
DE,SI,26673,Germany
DE,SK,11562,Germany
DE,SL,8357,Germany
DE,SN,3148,Germany
DE,SR,904,Germany
DE,ST,1760,Germany
DE,SV,684,Germany
DE,SZ,535,Germany
DE,TD,1255,Germany
DE,TG,6331,Germany
DE,TH,1281,Germany
DE,TJ,3568,Germany
DE,TL,352,Germany
DE,TN,8688,Germany
DE,TO,975,Germany
DE,TR,14452,Germany
DE,TT,1497,Germany
DE,TW,1120,Germany
DE,TZ,1191,Germany
DE,UA,5290,Germany
DE,UG,4254,Germany
DE,US,3230,Germany
DE,UY,1751,Germany
DE,UZ,1302,Germany
DE,VC,1292,Germany
DE,VN,1531,Germany
DE,VU,400,Germany
DE,WS,602,Germany
DE,YT,585,Germany
DE,ZA,949,Germany
DE,ZM,903,Germany
DE,ZW,2674,Germany
ES,AE,3543,Spain
ES,AF,575,Spain
ES,AG,4581,Spain
ES,AL,3427,Spain
ES,AM,3258,Spain
ES,AO,1464,Spain
ES,AR,15275,Spain
ES,AT,8224,Spain
ES,AU,3120,Spain
ES,AW,17563,Spain
ES,AZ,678,Spain
ES,BA,1930,Spain
ES,BB,1691,Spain
ES,BD,573,Spain
ES,BE,13070,Spain
ES,BF,1614,Spain
ES,BG,18496,Spain
ES,BH,2133,Spain
ES,BI,679,Spain
ES,BJ,3507,Spain
ES,BN,718,Spain
ES,BO,18104,Spain
ES,BR,2739,Spain
ES,BS,1807,Spain
ES,BT,431,Spain
ES,BW,475,Spain
ES,BY,3142,Spain
ES,BZ,2273,Spain
ES,CA,2699,Spain
ES,CD,680,Spain
ES,CF,2274,Spain
ES,CG,2094,Spain
ES,CH,21241,Spain
ES,CI,2903,Spain
ES,CL,10860,Spain
ES,CM,2381,Spain
ES,CO,19287,Spain
ES,CR,10806,Spain
ES,CV,26514,Spain
ES,CW,10739,Spain
ES,CY,6566,Spain
ES,CZ,3314,Spain
ES,DE,8660,Spain
ES,DJ,686,Spain
ES,DK,6653,Spain
ES,DO,42862,Spain
ES,DZ,2336,Spain
ES,EC,26563,Spain
ES,EE,5503,Spain
ES,EG,677,Spain
ES,ES,1074854,Spain
ES,ET,383,Spain
ES,FI,5678,Spain
ES,FJ,356,Spain
ES,FM,210,Spain
ES,FR,9049,Spain
ES,GA,3240,Spain
ES,GB,11360,Spain
ES,GD,1482,Spain
ES,GE,6990,Spain
ES,GF,4583,Spain
ES,GH,3382,Spain
ES,GM,25999,Spain
ES,GN,10533,Spain
ES,GP,4059,Spain
ES,GQ,101754,Spain
ES,GR,5828,Spain
ES,GT,3852,Spain
ES,GU,1570,Spain
ES,GW,22652,Spain
ES,GY,983,Spain
ES,HK,1533,Spain
ES,HN,46408,Spain
ES,HR,3137,Spain
ES,HT,1118,Spain
ES,HU,3830,Spain
ES,ID,269,Spain
ES,IE,14848,Spain
ES,IM,9362,Spain
ES,IN,229,Spain
