Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Paraguay,PRY,1992,7.430100303,8475.91879498154,4445019.0,South America
Namibia,NAM,1992,8.636336103,6511.89845246324,1516951.0,Africa
Niger,NER,1992,4.516281782,1070.35281716523,8566773.0,Africa
Rwanda,RWA,1992,5.34079179,1051.32207334206,6702239.0,Africa
Egypt,EGY,1992,4.613305956,6152.92900367738,58666812.0,Africa
India,IND,1993,6.946856583,1906.41205810118,927403866.0,Asia
Philippines,PHL,1993,2.77002466,4006.69625405473,66593903.0,Asia
Kenya,KEN,1993,14.48191377,2942.36297105563,26136217.0,Africa
Ghana,GHA,1993,24.31642304,2463.62638937279,16106756.0,Africa
United States,USA,1993,24.43116951,41238.7826060853,259532130.0,North America
Senegal,SEN,1993,5.158730159,2385.08946407099,8226749.0,Africa
Burkina Faso,BFA,1993,5.025886644,1061.58686401122,9552473.0,Africa
Bolivia,BOL,1994,8.234653737,4925.10776358284,7466792.0,South America
Central African Republic,CAF,1994,13.50336163,1053.74593400989,3135017.0,Africa
United States,USA,1994,24.31441689,42377.3555142458,262241204.0,North America
Bangladesh,BGD,1994,1.545442896,1648.73402343608,112737684.0,Asia
Cote d'Ivoire,CIV,1994,13.88433708,3922.8172395173,13735438.0,Africa
Haiti,HTI,1994,8.072025276,2401.8268154123,7602318.0,North America
Zimbabwe,ZWE,1994,13.49857286,3529.59241875636,11261752.0,Africa
Morocco,MAR,1994,5.945524871,4101.79832318845,26584473.0,Africa
Uganda,UGA,1995,10.62894836,1082.92778362102,20413157.0,Africa
Japan,JPN,1995,25.60229683,34081.8984230205,126365486.0,Asia
Israel,ISR,1995,19.65662802,28338.1521496227,5271368.0,Asia
United States,USA,1995,24.98434258,42999.7887136753,265163740.0,North America
Guatemala,GTM,1995,3.798205227,6033.04269504362,10408486.0,North America
Kazakhstan,KAZ,1995,11.6253231,8552.45199652571,15839357.0,Asia
Indonesia,IDN,1995,5.697882449,5892.07175353953,196934257.0,Asia
Colombia,COL,1995,6.390415956,9400.30919748867,36421438.0,South America
Nicaragua,NIC,1995,3.813954728,3384.84140400121,4652185.0,North America
Egypt,EGY,1995,5.403063128,6483.31562051125,62334025.0,Africa
Mexico,MEX,1995,5.794888726,14808.8071185208,91663290.0,North America
Mali,MLI,1996,5.579503837,1520.45692817007,9837575.0,Africa
Peru,PER,1996,6.269220037,6210.22264216459,24753825.0,South America
South Africa,ZAF,1996,16.22959344,9761.73895451024,42241007.0,Africa
United States,USA,1996,24.9932251,44105.8274590707,268335007.0,North America
Uzbekistan,UZB,1996,5.262791517,2488.79038317283,23225303.0,Asia
Australia,AUS,1996,22.1,33778.0635392223,18189274.0,Oceania
Benin,BEN,1996,8.703389939,2277.76181597777,6094272.0,Africa
Tanzania,TZA,1996,8.934231506,1317.55985786958,30444523.0,Africa
Dominican Republic,DOM,1996,8.312300349,7707.39519571147,7952766.0,North America
Comoros,COM,1996,2.31316726,2642.09376873253,488625.0,Africa
Fiji,FJI,1996,3.98353565,9344.22253139498,784389.0,Oceania
