Entity,Code,Year,Share of one person households,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Democratic Republic of Congo,COD,2007,6.727813033,817.069598483967,58453687.0,Africa
Denmark,DNK,2007,44.3,53569.0280238008,5469920.0,Europe
Bulgaria,BGR,2007,21.1,16583.9587844953,7576675.0,Europe
South Africa,ZAF,2007,18.12737212,12402.0494604229,49119766.0,Africa
Czechia,CZE,2007,23.8,33956.2459846788,10357535.0,Europe
Peru,PER,2007,11.71401961,8629.26453343658,28333050.0,South America
Dominican Republic,DOM,2007,12.22506648,11756.4666220014,9338856.0,North America
Palestine,PSE,2007,3.532289796,4750.92969249725,3756459.0,Asia
Ireland,IRL,2007,21.4,60326.6541545205,4324649.0,Europe
Poland,POL,2008,25.3,22444.9073474414,38356786.0,Europe
Sweden,SWE,2008,40.2,47963.4937520407,9236433.0,Europe
Luxembourg,LUX,2008,28.9,111409.723762355,485403.0,Europe
South Sudan,SSD,2008,4.32781149,,8736932.0,Africa
Philippines,PHL,2008,5.250545597,5618.48495292549,90901967.0,Asia
United Kingdom,GBR,2008,31.1,43670.4145844224,62145098.0,Europe
Romania,ROU,2008,23.4,22044.3066816204,20829521.0,Europe
Slovenia,SVN,2008,20.8,36081.1286420955,2023049.0,Europe
Sudan,SDN,2008,5.057340875,3048.29614857669,33060843.0,Africa
Nigeria,NGA,2008,17.78757132,4458.62229484372,150269622.0,Africa
Spain,ESP,2008,22.2,39240.3951876123,46068811.0,Europe
Netherlands,NLD,2008,35.5,53848.2522316971,16568105.0,Europe
Malta,MLT,2008,20.2,31893.3586848943,409493.0,Europe
Turkey,TUR,2008,6.9,19933.0672704029,70418612.0,Asia
Portugal,PRT,2008,17.6,32307.912767932,10595312.0,Europe
Lithuania,LTU,2008,30.0,26784.8800343204,3212867.0,Europe
Rwanda,RWA,2008,8.255909725,1393.0299015146,9524532.0,Africa
Norway,NOR,2008,41.1,63570.3612363011,4771014.0,Europe
Sierra Leone,SLE,2008,4.13401144,1360.1610981794,6133599.0,Africa
Slovakia,SVK,2008,24.2,25451.1517570416,5399362.0,Europe
Senegal,SEN,2008,3.884283821,2780.61530712335,12004700.0,Africa
Switzerland,CHE,2008,31.1,66598.8593697765,7622826.0,Europe
Egypt,EGY,2008,5.479661745,9763.50444936789,79636081.0,Africa
Belgium,BEL,2008,34.8,48422.5782305146,10778764.0,Europe
Italy,ITA,2008,29.3,44623.6020153057,58922116.0,Europe
Hungary,HUN,2008,24.1,25792.7025200493,9991867.0,Europe
Denmark,DNK,2008,45.8,52982.5317373493,5497731.0,Europe
Estonia,EST,2008,34.4,29616.6905059021,1340067.0,Europe
Cyprus,CYP,2008,20.8,40484.6149094716,1081568.0,Europe
Austria,AUT,2008,35.3,53089.8763414956,8341525.0,Europe
Iceland,ISL,2008,29.3,52999.4375361804,310855.0,Europe
Ghana,GHA,2008,21.92913739,3466.81399090962,23563832.0,Africa
Greece,GRC,2008,20.1,37461.5387708945,11040312.0,Europe
Bolivia,BOL,2008,12.76075304,6351.22621099244,9721457.0,South America
Finland,FIN,2008,39.2,48817.989492787,5319452.0,Europe
Bulgaria,BGR,2008,18.4,17717.1218284588,7524084.0,Europe
Latvia,LVA,2008,28.4,24711.1074481853,2171248.0,Europe
France,FRA,2008,34.6,42996.2097818165,62209207.0,Europe
Germany,DEU,2008,39.1,47573.0273603862,81065751.0,Europe
Ireland,IRL,2008,21.7,56485.699245268,4415871.0,Europe
United States,USA,2008,27.54424858,55271.6574674784,303486022.0,North America
Czechia,CZE,2008,24.8,34580.4433462984,10425267.0,Europe
Poland,POL,2009,25.3,23064.9537007667,38351924.0,Europe
Turkey,TUR,2009,7.7,18731.5193829907,71321406.0,Asia
Portugal,PRT,2009,17.5,31269.4104613004,10604066.0,Europe
Iceland,ISL,2009,30.3,48770.9503367158,316057.0,Europe
Cyprus,CYP,2009,20.8,38618.0093651325,1098089.0,Europe
Hungary,HUN,2009,24.1,24102.0136912384,9959439.0,Europe
Romania,ROU,2009,24.3,21002.2761402342,20637995.0,Europe
Guyana,GUY,2009,12.87004026,9454.09979877161,747718.0,South America
Czechia,CZE,2009,24.5,32782.6123492193,10488155.0,Europe
Germany,DEU,2009,39.5,44978.1198711897,80899961.0,Europe
United Kingdom,GBR,2009,30.9,41558.3008322127,62828620.0,Europe
France,FRA,2009,34.4,41546.4905796298,62542883.0,Europe
Finland,FIN,2009,39.8,44662.100140396,5342266.0,Europe
Mozambique,MOZ,2009,9.515043252,991.322834728107,22894718.0,Africa
United States,USA,2009,27.01547241,53399.3656316179,306307565.0,North America
Norway,NOR,2009,40.9,61689.5777152826,4826847.0,Europe
Greece,GRC,2009,20.2,35756.2455188034,10959268.0,Europe
Uganda,UGA,2009,11.31977307,1819.00118154645,31411096.0,Africa
Estonia,EST,2009,34.2,25390.753967296,1336140.0,Europe
Latvia,LVA,2009,29.7,21540.0855594708,2144784.0,Europe
Denmark,DNK,2009,46.1,50114.0500523227,5526389.0,Europe
Madagascar,MDG,2009,7.120491551,1587.56703518614,20569115.0,Africa
Vietnam,VNM,2009,7.281823706,4830.30506933291,87092250.0,Asia
Peru,PER,2009,11.43541309,9368.04546271701,28792663.0,South America
Malta,MLT,2009,20.9,31294.902312803,411559.0,Europe
India,IND,2009,7.664429863,3956.35901634772,1217726217.0,Asia
Congo,COG,2009,12.26820632,4851.12682625449,4145399.0,Africa
Lithuania,LTU,2009,30.4,23065.0619581523,3167270.0,Europe
Switzerland,CHE,2009,31.9,64404.0798614014,7713902.0,Europe
Sweden,SWE,2009,43.4,45492.768174936,9313085.0,Europe
Kyrgyzstan,KGZ,2009,8.548256687,4210.62634731705,5334708.0,Asia
Kenya,KEN,2009,14.8806381,3156.43683396753,40901798.0,Africa
Lesotho,LSO,2009,18.72795858,2235.40528153398,1990135.0,Africa
Jordan,JOR,2009,4.601669512,11650.3643637747,6893258.0,Asia
Liberia,LBR,2009,7.04540924,1387.3297311429,3754129.0,Africa
Spain,ESP,2009,22.4,37430.6785045715,46583566.0,Europe
Austria,AUT,2009,35.7,50957.6063796813,8372657.0,Europe
Azerbaijan,AZE,2009,6.766349797,13822.0911094279,8924383.0,Asia
Belarus,BLR,2009,29.65364786,16010.439955622,9433159.0,Europe
Slovenia,SVN,2009,20.8,33057.4147493548,2033807.0,Europe
Belgium,BEL,2009,34.6,47063.8790649801,10859934.0,Europe
Italy,ITA,2009,29.8,42074.9212455091,59105622.0,Europe
Slovakia,SVK,2009,23.8,24030.6118201304,5401149.0,Europe
Netherlands,NLD,2009,35.8,51607.6057272318,16626379.0,Europe
Luxembourg,LUX,2009,28.9,104598.831931338,496536.0,Europe
Ireland,IRL,2009,21.8,53077.386996912,4494572.0,Europe
Bulgaria,BGR,2009,19.1,17229.8494817825,7473509.0,Europe
Norway,NOR,2010,41.1,61353.4963937525,4885878.0,Europe
Bulgaria,BGR,2010,19.4,17440.671883099,7425011.0,Europe
Aruba,ABW,2010,21.36749684,34343.1513198843,101665.0,North America
Romania,ROU,2010,23.9,20303.1627966692,20471860.0,Europe
Armenia,ARM,2010,15.26327762,9286.19732701296,2877314.0,Asia
Burkina Faso,BFA,2010,6.326637238,1716.35832279765,15605211.0,Africa
Argentina,ARG,2010,17.59833909,23521.2701750961,40895751.0,South America
Colombia,COL,2010,9.438077262,11783.2999142858,45222699.0,South America
North Macedonia,MKD,2010,9.7,13412.3128319948,2070737.0,Europe
Slovakia,SVK,2010,23.1,25417.8123610242,5404293.0,Europe
Nigeria,NGA,2010,10.53510562,4932.33479996173,158503203.0,Africa
Russia,RUS,2010,25.69390194,23961.2202930302,143479273.0,Europe
Sweden,SWE,2010,41.1,47791.3715245947,9390157.0,Europe
France,FRA,2010,35.3,42147.6716766942,62879535.0,Europe
Switzerland,CHE,2010,31.3,65819.7372527487,7808674.0,Europe
Cambodia,KHM,2010,2.833942987,2716.69973756029,14312205.0,Asia
United Kingdom,GBR,2010,30.9,42089.0136357977,63459801.0,Europe
Netherlands,NLD,2010,36.1,52032.9865022429,16682927.0,Europe
Finland,FIN,2010,39.5,45874.6613021399,5365784.0,Europe
Spain,ESP,2010,22.6,37319.4762230353,46931011.0,Europe
Brazil,BRA,2010,12.00075542,14873.2083173363,195713637.0,South America
Estonia,EST,2010,34.5,26133.3818108942,1332103.0,Europe
Cyprus,CYP,2010,20.8,38379.0903965443,1112617.0,Europe
Tanzania,TZA,2010,8.525647089,2006.97132607023,44346532.0,Africa
Poland,POL,2010,25.2,23996.1397804791,38329784.0,Europe
Singapore,SGP,2010,12.20643675,78294.0314218674,5131170.0,Asia
Belgium,BEL,2010,34.6,47971.6303134944,10938735.0,Europe
Portugal,PRT,2010,17.7,31798.1538079411,10596055.0,Europe
Czechia,CZE,2010,23.5,33483.137594809,10536514.0,Europe
Peru,PER,2010,13.98925341,10066.4675664813,29027680.0,South America
Bermuda,BMU,2010,28.87493964,88399.9159492493,65388.0,North America
Slovenia,SVN,2010,27.0,33355.8476287757,2043336.0,Europe
Rwanda,RWA,2010,6.539706576,1507.16501035777,10039338.0,Africa
Croatia,HRV,2010,24.6,24280.6026929712,4328163.0,Europe
Denmark,DNK,2010,46.2,50825.4122929358,5554849.0,Europe
Panama,PAN,2010,14.66153913,21343.3049948781,3642691.0,North America
Ecuador,ECU,2010,12.12348666,10340.9702972165,15011114.0,South America
South Korea,KOR,2010,23.8887144,34394.4904890551,49545638.0,Asia
Austria,AUT,2010,36.0,51769.1455641151,8409945.0,Europe
Puerto Rico,PRI,2010,23.05711871,32960.6911054053,3579842.0,North America
Bahamas,BHS,2010,17.73097958,36504.4070465871,354936.0,North America
Burundi,BDI,2010,5.771999952,846.169136789899,8675606.0,Africa
Latvia,LVA,2010,29.3,21023.9013349872,2118855.0,Europe
Zimbabwe,ZWE,2010,11.66068559,2458.22062578173,12697728.0,Africa
United States,USA,2010,26.71391296,54315.9124805391,309011469.0,North America
Luxembourg,LUX,2010,28.9,107703.453907485,507890.0,Europe
Ireland,IRL,2010,22.3,53725.033597612,4554330.0,Europe
Iceland,ISL,2010,31.2,47457.6229185836,320342.0,Europe
Malawi,MWI,2010,6.771263411,1350.59916998263,14539609.0,Africa
Italy,ITA,2010,30.3,42664.3552727925,59325232.0,Europe
Lithuania,LTU,2010,32.7,23942.7603567557,3123825.0,Europe
Hungary,HUN,2010,23.9,24427.6287331225,9927380.0,Europe
Japan,JPN,2010,32.37607956,37586.1671466567,128542349.0,Asia
Indonesia,IDN,2010,8.258493216,8286.7328696642,241834226.0,Asia
Germany,DEU,2010,39.8,46929.9934093156,80827001.0,Europe
Malta,MLT,2010,21.5,32867.9400344911,414257.0,Europe
Greece,GRC,2010,20.3,33753.6177475922,10887640.0,Europe
Liechtenstein,LIE,2010,34.1718942,,35996.0,Europe
Mexico,MEX,2010,9.42463422,17790.0119218899,114092961.0,North America
Canada,CAN,2011,27.57617707,45822.5964338567,34539156.0,North America
Czechia,CZE,2011,23.7,34002.1897752206,10566512.0,Europe
Trinidad and Tobago,TTO,2011,19.21009515,28621.106512477,1336180.0,North America
Romania,ROU,2011,24.8,20792.173399081,20336718.0,Europe
Madagascar,MDG,2011,5.338500402,1534.9397058785,21743970.0,Africa
Malta,MLT,2011,22.1,32881.833840119,417720.0,Europe
Iceland,ISL,2011,30.9,48186.1672876621,323471.0,Europe
Hong Kong,HKG,2011,17.05879274,53472.9932695113,7006598.0,Asia
Croatia,HRV,2011,24.6,24316.2479790563,4313098.0,Europe
Turkey,TUR,2011,7.9,21932.2945704799,73443254.0,Asia
Cameroon,CMR,2011,15.14269148,3126.78623748453,20906392.0,Africa
Portugal,PRT,2011,19.1,31304.8155263075,10569388.0,Europe
Poland,POL,2011,25.2,25124.2763632735,38286824.0,Europe
Hungary,HUN,2011,29.9,24971.4773629145,9895689.0,Europe
Cyprus,CYP,2011,20.8,37562.4491443722,1124837.0,Europe
Congo,COG,2011,13.08864795,5141.18322685501,4394842.0,Africa
United States,USA,2011,27.53341675,54758.8332734292,311584051.0,North America
Senegal,SEN,2011,3.431717486,2757.07940494497,13033814.0,Africa
Iran,IRN,2011,7.161897448,14005.3133367405,74634959.0,Asia
Latvia,LVA,2011,30.9,22795.1977092386,2093606.0,Europe
Switzerland,CHE,2011,32.3,66342.0108170701,7906988.0,Europe
Sweden,SWE,2011,40.7,48947.4393112155,9466705.0,Europe
Albania,ALB,2011,8.274421193,11052.7904635136,2928601.0,Europe
Angola,AGO,2011,6.603705049,7675.44608452759,24220660.0,Africa
Australia,AUS,2011,24.4,45463.6819958564,22538002.0,Oceania
Spain,ESP,2011,22.9,36884.2592434253,47084242.0,Europe
Liberia,LBR,2011,12.64218118,1488.27727468377,4017446.0,Africa
Austria,AUT,2011,36.2,53102.950844304,8453501.0,Europe
South Africa,ZAF,2011,26.80193468,12666.7080162249,52003759.0,Africa
Macao,MAC,2011,15.21587642,140321.682809865,550833.0,Asia
Bangladesh,BGD,2011,1.735012545,3034.95108156758,149273134.0,Asia
Italy,ITA,2011,30.3,42892.3055641948,59589070.0,Europe
Belgium,BEL,2011,34.9,48153.9390923805,11013860.0,Europe
Slovakia,SVK,2011,24.4,26107.8287132195,5408932.0,Europe
Ireland,IRL,2011,21.7,53812.7947341444,4591115.0,Europe
Sint Maarten (Dutch part),SXM,2011,31.32876925,46392.8687508029,35050.0,North America
Botswana,BWA,2011,27.89102064,14770.4390405053,2015406.0,Africa
Luxembourg,LUX,2011,28.9,108010.708571327,519312.0,Europe
Brunei,BRN,2011,7.216026496,69388.8131973129,393687.0,Asia
Peru,PER,2011,13.7809745,10616.8436986492,29264314.0,South America
Bulgaria,BGR,2011,19.9,17966.1580585619,7378652.0,Europe
Slovenia,SVN,2011,27.6,33573.3355082877,2051277.0,Europe
Denmark,DNK,2011,44.0,51293.2061782002,5582980.0,Europe
Costa Rica,CRI,2011,11.2267724,17360.2015917797,4633086.0,North America
Lithuania,LTU,2011,34.2,25968.5834234521,3083402.0,Europe
Montenegro,MNE,2011,18.12663206,17287.4176362672,625271.0,Europe
Netherlands,NLD,2011,36.4,52594.2290064164,16738190.0,Europe
Uganda,UGA,2011,11.47346109,1972.31040257869,33476771.0,Africa
Estonia,EST,2011,34.9,28159.5802675351,1327701.0,Europe
Uruguay,URY,2011,23.52356194,20231.5731615788,3368926.0,South America
Germany,DEU,2011,40.1,49684.6130740715,80855629.0,Europe
Norway,NOR,2011,41.5,61157.1489347399,4948335.0,Europe
Ethiopia,ETH,2011,7.575711552,1360.93852243609,90139928.0,Africa
Mozambique,MOZ,2011,9.847700695,1073.4781338343,24187500.0,Africa
France,FRA,2011,34.2,42864.0189689606,63222229.0,Europe
Greece,GRC,2011,20.4,30372.7605650238,10829074.0,Europe
United Kingdom,GBR,2011,31.3,42294.1204630137,64021922.0,Europe
North Macedonia,MKD,2011,9.7,13714.575216367,2072484.0,Europe
Nepal,NPL,2011,4.894019557,2793.02473367277,27041220.0,Asia
Finland,FIN,2011,40.1,46825.8248388831,5390036.0,Europe
Spain,ESP,2012,23.2,35769.4600345792,47063059.0,Europe
Portugal,PRT,2012,19.3,30156.7015822628,10526308.0,Europe
Ireland,IRL,2012,21.9,53653.7347728881,4608199.0,Europe
Bulgaria,BGR,2012,21.6,18134.9608435703,7334007.0,Europe
Jordan,JOR,2012,4.350425966,10688.2893436103,8089963.0,Asia
Croatia,HRV,2012,24.6,23807.3155946951,4295869.0,Europe
Benin,BEN,2012,10.26512972,2759.84825577488,9729254.0,Africa
Luxembourg,LUX,2012,33.3,105075.9610942,530855.0,Europe
Cote d'Ivoire,CIV,2012,12.17714645,3692.64764324942,21547188.0,Africa
Gabon,GAB,2012,22.42201356,15082.6565608753,1749677.0,Africa
Estonia,EST,2012,36.0,29139.5270164549,1323163.0,Europe
Niger,NER,2012,3.192584473,1085.54282809398,17795209.0,Africa
Comoros,COM,2012,4.910657195,2946.20222437818,723865.0,Africa
Austria,AUT,2012,36.5,53221.0786648309,8502230.0,Europe
Rwanda,RWA,2012,7.396382111,1682.20649117176,10549668.0,Africa
North Macedonia,MKD,2012,9.6,13640.2240111418,2074275.0,Europe
Romania,ROU,2012,25.2,21311.1336338426,20227467.0,Europe
Finland,FIN,2012,40.2,45952.246383366,5414769.0,Europe
Iceland,ISL,2012,31.1,48440.2550840897,325642.0,Europe
Tajikistan,TJK,2012,2.959290743,2637.65426734355,7874838.0,Asia
Burundi,BDI,2012,6.191147209,862.715712963336,9245992.0,Africa
Sao Tome and Principe,STP,2012,16.81598743,3461.32746033286,188394.0,Africa
Hungary,HUN,2012,31.0,24754.2259132575,9864363.0,Europe
United States,USA,2012,27.40907097,55581.4138435205,314043885.0,North America
Slovakia,SVK,2012,24.7,26557.7913824185,5414894.0,Europe
Slovenia,SVN,2012,28.9,32618.6088809723,2057826.0,Europe
Malta,MLT,2012,22.6,33929.3399168818,421809.0,Europe
Greece,GRC,2012,20.6,28374.676952114,10781119.0,Europe
Peru,PER,2012,12.90604962,11176.0867152669,29506790.0,South America
Czechia,CZE,2012,27.2,33688.0998344582,10581302.0,Europe
Guinea,GIN,2012,4.531494181,2002.32168675994,10652032.0,Africa
Latvia,LVA,2012,30.7,24060.9857720536,2069018.0,Europe
Italy,ITA,2012,31.6,41501.7112309705,59879469.0,Europe
Haiti,HTI,2012,9.885876923,2833.77773410353,10250922.0,North America
Lithuania,LTU,2012,35.2,27330.8959483858,3045561.0,Europe
Germany,DEU,2012,40.2,49798.9676727479,80972629.0,Europe
Switzerland,CHE,2012,31.9,66440.2870236648,8008006.0,Europe
Honduras,HND,2012,6.687692161,5065.45699900649,8640692.0,North America
Cyprus,CYP,2012,20.7,35719.3218041179,1135046.0,Europe
Poland,POL,2012,24.4,25457.2064583733,38227033.0,Europe
Belgium,BEL,2012,34.9,48209.991519122,11085355.0,Europe
Denmark,DNK,2012,44.2,51216.309409926,5610909.0,Europe
Mayotte,MYT,2012,14.71089508,,221147.0,Africa
Tanzania,TZA,2012,8.428410158,2128.5289303179,47053033.0,Africa
Netherlands,NLD,2012,36.7,51860.0559942119,16791850.0,Europe
Turkey,TUR,2012,8.6,22610.6827736227,74651046.0,Asia
France,FRA,2012,34.7,42790.6328838388,63564224.0,Europe
Mali,MLI,2012,3.206061544,2007.80692981945,15979492.0,Africa
Norway,NOR,2012,41.2,61990.7116232878,5013716.0,Europe
Sweden,SWE,2012,40.8,48300.8425001578,9542817.0,Europe
United Kingdom,GBR,2012,29.0,42601.828409576,64525300.0,Europe
Serbia,SRB,2013,22.2,15399.7829147623,8918892.0,Europe
Slovenia,SVN,2013,29.7,32239.0845573446,2063120.0,Europe
Luxembourg,LUX,2013,32.9,106427.456256053,542554.0,Europe
Nigeria,NGA,2013,15.77620659,5329.12151659822,171765819.0,Africa
Finland,FIN,2013,40.3,45328.5753218041,5438984.0,Europe
Sierra Leone,SLE,2013,3.997689256,1953.08836410675,6863975.0,Africa
Italy,ITA,2013,32.5,40268.1127892773,60166828.0,Europe
Lithuania,LTU,2013,36.6,28589.0266601627,3008938.0,Europe
Zambia,ZMB,2013,7.17199096,3399.70229437249,14926551.0,Africa
Namibia,NAM,2013,17.44637043,9990.74583093369,2233506.0,Africa
Belgium,BEL,2013,34.5,48203.6526833001,11154008.0,Europe
Yemen,YEM,2013,1.866618848,,25147112.0,Asia
Austria,AUT,2013,36.7,52921.8171022969,8556191.0,Europe
Slovakia,SVK,2013,23.5,26706.0951054998,5421721.0,Europe
United States,USA,2013,27.4132576,56214.4286771294,316400539.0,North America
Germany,DEU,2013,40.2,49880.5735214304,81174373.0,Europe
Ireland,IRL,2013,22.1,54026.7560325486,4615426.0,Europe
New Zealand,NZL,2013,23.53930473,39599.1882952181,4518519.0,Oceania
Dominican Republic,DOM,2013,14.33210278,13702.3212058786,10048226.0,North America
Netherlands,NLD,2013,37.0,51640.0766862304,16843512.0,Europe
Norway,NOR,2013,41.3,61878.9944110006,5079460.0,Europe
Latvia,LVA,2013,30.4,24881.9087718444,2044950.0,Europe
Poland,POL,2013,24.3,25759.339150716,38158043.0,Europe
Cyprus,CYP,2013,20.8,33456.2890881726,1143866.0,Europe
Sweden,SWE,2013,41.8,48462.1600029489,9618016.0,Europe
Senegal,SEN,2013,6.465171934,2777.11176906606,13782429.0,Africa
Philippines,PHL,2013,4.967869184,6666.25051231347,98871558.0,Asia
Malta,MLT,2013,23.4,35287.4650790984,426144.0,Europe
Czechia,CZE,2013,27.8,33661.4684161727,10586529.0,Europe
Democratic Republic of Congo,COD,2013,7.253944633,972.455934329137,71358804.0,Africa
Gambia,GMB,2013,8.385145997,2131.43602743993,1963708.0,Africa
Greece,GRC,2013,25.7,27797.5447288899,10740501.0,Europe
Denmark,DNK,2013,45.1,51479.2664533017,5638152.0,Europe
Pakistan,PAK,2013,1.079464084,4069.26749773498,191260799.0,Asia
Hungary,HUN,2013,32.0,25284.3700544339,9833923.0,Europe
Croatia,HRV,2013,24.6,23766.9760398631,4276593.0,Europe
Liberia,LBR,2013,9.665428312,1652.18799366019,4248337.0,Africa
United Kingdom,GBR,2013,28.5,43242.5676679488,64984015.0,Europe
Estonia,EST,2013,36.0,29637.087377055,1319068.0,Europe
Bulgaria,BGR,2013,22.4,18296.146891746,7290092.0,Europe
North Macedonia,MKD,2013,9.6,14027.1309671367,2076065.0,Europe
Switzerland,CHE,2013,31.7,66877.1630488424,8108876.0,Europe
Romania,ROU,2013,26.0,22197.0383343645,20132780.0,Europe
France,FRA,2013,35.2,42816.2714819044,63893521.0,Europe
Portugal,PRT,2013,20.0,30042.8907185982,10473025.0,Europe
Spain,ESP,2013,23.5,35371.7398181963,46930554.0,Europe
Iceland,ISL,2013,29.3,50168.6885349698,327194.0,Europe
Kenya,KEN,2014,19.29013718,3709.15256291153,46700063.0,Africa
Italy,ITA,2014,32.9,39898.5264609826,60409622.0,Europe
Spain,ESP,2014,24.6,35968.6201369865,46777927.0,Europe
Sweden,SWE,2014,41.7,49258.9961639539,9692137.0,Europe
France,FRA,2014,35.4,43021.3946358903,64193550.0,Europe
Latvia,LVA,2014,32.3,25387.0076467731,2021220.0,Europe
Austria,AUT,2014,37.0,52857.0563215416,8615205.0,Europe
Netherlands,NLD,2014,36.9,52186.9973861206,16892517.0,Europe
Lesotho,LSO,2014,20.66342329,2639.4458245507,2043448.0,Africa
United States,USA,2014,27.74103546,57213.2678405623,318673422.0,North America
Switzerland,CHE,2014,36.5,67682.6861750714,8206003.0,Europe
Denmark,DNK,2014,45.0,52048.3354927846,5664199.0,Europe
Slovenia,SVN,2014,29.2,33098.9441619924,2067487.0,Europe
Malawi,MWI,2014,9.031598612,1432.05512176522,16289550.0,Africa
Ghana,GHA,2014,25.87767982,4670.24489811829,27224480.0,Africa
Hungary,HUN,2014,32.3,26424.7204043413,9804991.0,Europe
Portugal,PRT,2014,21.4,30444.6002091947,10418224.0,Europe
Croatia,HRV,2014,24.6,23782.5024628678,4255518.0,Europe
Turkey,TUR,2014,13.8,24881.7277916793,77229262.0,Asia
Estonia,EST,2014,36.0,30602.5954941753,1316273.0,Europe
Norway,NOR,2014,40.6,62390.1497031613,5142269.0,Europe
United Kingdom,GBR,2014,28.7,44154.1056092436,65423048.0,Europe
Cyprus,CYP,2014,20.8,33207.7707129666,1152297.0,Europe
Egypt,EGY,2014,6.478594966,10353.6668042394,90424668.0,Africa
Czechia,CZE,2014,27.9,34386.7049143977,10591104.0,Europe
Malta,MLT,2014,24.2,37230.2783945938,430190.0,Europe
Greece,GRC,2014,25.7,28178.6902062824,10701460.0,Europe
Poland,POL,2014,24.4,26649.577276004,38091095.0,Europe
Bangladesh,BGD,2014,1.738486814,3511.64550625961,154517385.0,Asia
Romania,ROU,2014,26.8,23084.3747760397,20035928.0,Europe
Serbia,SRB,2014,22.3,15226.3201716299,8898284.0,Europe
Lithuania,LTU,2014,36.0,29855.8314910326,2971498.0,Europe
Ireland,IRL,2014,21.4,58267.4122658082,4626852.0,Europe
Slovakia,SVK,2014,25.7,27384.9718145418,5428798.0,Europe
Belgium,BEL,2014,34.3,48747.6770466387,11221225.0,Europe
Finland,FIN,2014,40.8,44976.7764487708,5461410.0,Europe
Uganda,UGA,2014,11.51306933,2022.29482007632,36911530.0,Africa
Togo,TGO,2014,15.65110089,1863.28189425443,7137997.0,Africa
Germany,DEU,2014,40.5,50770.6134878236,81450370.0,Europe
Luxembourg,LUX,2014,33.3,108414.751923468,554512.0,Europe
Bulgaria,BGR,2014,24.2,18747.370050962,7245648.0,Europe
Burkina Faso,BFA,2014,6.640298513,1907.94921260654,17586029.0,Africa
Iceland,ISL,2014,29.3,50450.7416120996,328592.0,Europe
Cambodia,KHM,2014,3.37234042,3364.27806867374,15274506.0,Asia
North Macedonia,MKD,2014,9.7,14524.1946989175,2077780.0,Europe
Senegal,SEN,2014,6.380374024,2868.31587705101,14174740.0,Africa
Turkey,TUR,2015,14.3,25958.6407622392,78529413.0,Asia
Tanzania,TZA,2015,9.632193152,2354.13898543629,51482638.0,Africa
United States,USA,2015,27.98526382,58540.2960929977,320878312.0,North America
United Kingdom,GBR,2015,28.7,44840.7826443684,65860149.0,Europe
Switzerland,CHE,2015,37.5,68025.9200383988,8296775.0,Europe
Afghanistan,AFG,2015,0.189425072,2068.26590413364,34413603.0,Asia
Kenya,KEN,2015,21.60137431,3824.75930317654,47878339.0,Africa
North Macedonia,MKD,2015,9.7,15072.9475418471,2079335.0,Europe
Nigeria,NGA,2015,11.50747296,5514.77027265177,181137454.0,Africa
Netherlands,NLD,2015,37.4,52974.1162200949,16938492.0,Europe
Mexico,MEX,2015,10.08021791,19268.9143963283,121858251.0,North America
Malta,MLT,2015,25.2,39845.1145672313,433559.0,Europe
Malawi,MWI,2015,6.446656931,1432.08525892858,16745305.0,Africa
Luxembourg,LUX,2015,33.0,110446.086101647,566741.0,Europe
Lithuania,LTU,2015,37.7,30748.1963109529,2931872.0,Europe
Latvia,LVA,2015,31.0,26621.2722286526,1997675.0,Europe
Japan,JPN,2015,34.5345993,39777.5310167672,127985139.0,Asia
Italy,ITA,2015,32.1,40247.8290437942,60578489.0,Europe
Ireland,IRL,2015,22.8,72251.1535363159,4652420.0,Europe
Iceland,ISL,2015,31.1,52142.9328074888,330237.0,Europe
Hungary,HUN,2015,33.0,27499.3244662857,9777925.0,Europe
Guatemala,GTM,2015,4.326958785,8125.65553391647,16252425.0,North America
Greece,GRC,2015,25.7,28248.1259561464,10659737.0,Europe
Germany,DEU,2015,41.2,51083.9216615196,81787411.0,Europe
France,FRA,2015,35.9,43345.7864281559,64453194.0,Europe
Finland,FIN,2015,40.9,45072.5902146238,5481128.0,Europe
Estonia,EST,2015,36.3,31146.7545222679,1315330.0,Europe
Denmark,DNK,2015,45.0,52892.6460290247,5688695.0,Europe
Czechia,CZE,2015,27.9,36168.4185553861,10601390.0,Europe
Cyprus,CYP,2015,20.7,34472.2985065115,1160987.0,Europe
Croatia,HRV,2015,24.6,24562.453617545,4232874.0,Europe
Colombia,COL,2015,11.1259082,14095.748356648,47520667.0,South America
Chad,TCD,2015,7.732240271,1857.10786365964,14110971.0,Africa
Bulgaria,BGR,2015,28.9,19620.1539761978,7199739.0,Europe
Belgium,BEL,2015,34.6,49455.4413365318,11287931.0,Europe
Austria,AUT,2015,37.2,52798.0994607541,8678667.0,Europe
Norway,NOR,2015,44.3,62987.5358625454,5199827.0,Europe
Poland,POL,2015,24.7,27797.0584233597,38034076.0,Europe
Zimbabwe,ZWE,2015,12.37347575,3198.982128793,13814642.0,Africa
Slovakia,SVK,2015,23.1,28676.2656111842,5435614.0,Europe
Rwanda,RWA,2015,8.15135476,1889.15810576486,11369066.0,Africa
Senegal,SEN,2015,7.22030784,2966.45534736483,14578450.0,Africa
Romania,ROU,2015,28.0,23878.1885373067,19925182.0,Europe
